Gx,Gy,Gz ,Label
-121.04,-9.04,-20.58,Depan
-113.40,-8.55,-19.97,Depan
-117.37,-8.06,-17.86,Depan
-112.89,-8.64,-16.92,Depan
-114.05,-9.10,-16.73,Depan
-116.34,-4.95,-17.98,Depan
-111.85,-9.10,-19.54,Depan
-119.85,-9.68,-20.61,Depan
-110.53,-7.39,-19.21,Depan
-116.55,-8.27,-20.31,Depan
-123.57,-9.07,-19.76,Depan
-115.97,-7.05,-18.17,Depan
-113.40,-7.97,-18.75,Depan
-131.18,-12.09,-26.11,Depan
-118.44,-9.71,-24.92,Depan
-115.79,-9.31,-25.31,Depan
-114.63,-10.29,-26.81,Depan
-119.05,-11.24,-23.69,Depan
-118.84,-8.82,-24.15,Depan
-110.81,-4.64,-21.40,Depan
-116.79,-8.09,-20.46,Depan
-117.19,-8.67,-22.32,Depan
-115.79,-8.40,-21.95,Depan
-117.13,-9.13,-22.05,Depan
-120.58,-10.17,-20.98,Depan
-116.03,-9.40,-22.60,Depan
-111.69,-6.14,-21.80,Depan
-118.63,-4.52,-24.92,Depan
-118.08,-7.15,-25.28,Depan
-116.79,-5.62,-26.75,Depan
-120.21,-9.95,-27.33,Depan
-120.55,-7.66,-26.44,Depan
-114.75,-5.86,-26.93,Depan
-119.02,-6.26,-27.85,Depan
-119.30,-9.95,-24.18,Depan
-117.80,-10.38,-21.80,Depan
-116.73,-9.98,-22.78,Depan
-119.30,-8.61,-23.27,Depan
-120.09,-7.42,-24.43,Depan
-113.22,-6.60,-25.89,Depan
-119.15,-7.79,-28.43,Depan
-118.81,-6.17,-24.95,Depan
-124.15,-10.60,-24.49,Depan
-112.98,-9.86,-22.90,Depan
-121.95,-1.34,-27.69,Depan
-119.88,-2.60,-26.60,Depan
-121.56,-3.42,-25.80,Depan
-113.59,-3.39,-28.73,Depan
-118.44,-2.69,-26.44,Depan
-117.68,-4.00,-26.47,Depan
-117.44,-6.69,-27.85,Depan
-120.67,-5.25,-28.64,Depan
-119.21,-4.27,-28.34,Depan
-117.22,-3.36,-28.76,Depan
-119.21,-2.32,-29.65,Depan
-114.56,-4.09,-29.31,Depan
-117.25,-5.50,-29.80,Depan
-116.46,-4.31,-28.18,Depan
-121.40,-6.56,-30.08,Depan
-119.45,-2.32,-28.73,Depan
-121.80,-2.78,-29.95,Depan
-119.57,-2.26,-30.63,Depan
-119.79,-1.37,-30.60,Depan
